,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8
I-1,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
I-2,Player 3,Player 5,Player 1,Player 8,Player 2,Player 7,Player 6,Player 4
I-3,Player 7,Player 4,Player 6,Player 2,Player 8,Player 3,Player 1,Player 5
I-4,Player 5,Player 7,Player 8,Player 6,Player 1,Player 4,Player 2,Player 3
II-1,Player 8,Player 3,Player 2,Player 7,Player 6,Player 5,Player 4,Player 1
II-2,Player 6,Player 8,Player 7,Player 5,Player 4,Player 1,Player 3,Player 2
II-3,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
II-4,Player 2,Player 1,Player 4,Player 3,Player 7,Player 8,Player 5,Player 6
II-5,Player 4,Player 6,Player 5,Player 1,Player 3,Player 2,Player 8,Player 7
II-6,Player 3,Player 5,Player 1,Player 8,Player 2,Player 7,Player 6,Player 4
III-1,Player 7,Player 4,Player 6,Player 2,Player 8,Player 3,Player 1,Player 5
III-2,Player 5,Player 7,Player 8,Player 6,Player 1,Player 4,Player 2,Player 3
III-3,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
III-4,Player 8,Player 3,Player 2,Player 7,Player 6,Player 5,Player 4,Player 1
III-5,Player 6,Player 8,Player 7,Player 5,Player 4,Player 1,Player 3,Player 2
III-6,Player 2,Player 1,Player 4,Player 3,Player 7,Player 8,Player 5,Player 6
IV-1,Player 4,Player 6,Player 5,Player 1,Player 3,Player 2,Player 8,Player 7
IV-2,Player 3,Player 5,Player 1,M.Player 7,Player 2,Player 7,Player 6,Null
IV-3,Creep,Creep,Null,Creep,Creep,Creep,Creep,Null
IV-4,Player 5,Player 7,Null,Player 6,Player 1,Player 4,Player 2,Null
IV-5,Player 7,Player 6,Null,Null,Null,Player 2,Player 1,Null
IV-6,Player 2,Player 1,Null,Null,Null,M.Player 1,Null,Null
V-1,Player 6,Null,Null,Null,Null,Player 1,Null,Null
V-2,Player 6,Null,Null,Null,Null,Player 1,Null,Null
V-3,Creep,Null,Null,Null,Null,Creep,Null,Null
V-4,Player 6,Null,Null,Null,Null,Player 1,Null,Null
