,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8
I-1,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
I-2,Player 5,Player 6,Player 7,Player 8,Player 1,Player 2,Player 3,Player 4
I-3,Player 8,Player 3,Player 2,Player 5,Player 4,Player 7,Player 6,Player 1
I-4,Player 7,Player 4,Player 5,Player 2,Player 3,Player 8,Player 1,Player 6
II-1,Player 6,Player 7,Player 4,Player 3,Player 8,Player 1,Player 2,Player 5
II-2,Player 3,Player 8,Player 1,Player 7,Player 6,Player 5,Player 4,Player 2
II-3,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
II-4,Player 2,Player 1,Player 8,Player 6,Player 7,Player 4,Player 5,Player 3
II-5,Player 4,Player 5,Player 6,Player 1,Player 2,Player 3,Player 8,Player 7
II-6,Player 5,Player 6,Player 7,Player 8,Player 1,Player 2,Player 3,Player 4
III-1,Player 8,Player 3,Player 2,Player 5,Player 4,Player 7,Player 6,Player 1
III-2,Player 7,Player 4,Player 5,Player 2,Player 3,Player 8,Player 1,Player 6
III-3,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
III-4,Player 6,Player 7,Player 4,Player 3,Player 8,Player 1,Player 2,Player 5
III-5,Player 3,Player 8,Player 1,Player 7,Player 6,Player 5,Player 4,Player 2
III-6,Player 2,Player 1,Player 8,Null,Player 7,M.Player 7,Player 5,Player 3
IV-1,M.Player 7,Player 5,Player 6,Null,Player 2,Player 3,Player 8,Player 7
IV-2,Player 5,Player 6,Player 7,Null,Player 1,Player 2,Player 3,M.Player 5
IV-3,Creep,Creep,Creep,Null,Null,Creep,Creep,Creep
IV-4,Player 8,Player 3,Player 2,Null,Null,Player 7,Player 6,Player 1
IV-5,Null,Player 7,M.Player 6,Null,Null,Player 8,Player 2,Player 6
IV-6,Null,Player 8,Player 7,Null,Null,M.Player 2,Player 3,Player 2
V-1,Null,Null,M.Player 8,Null,Null,Player 8,Null,Player 6
V-2,Null,Null,Player 6,Null,Null,Player 3,Null,M.Player 3
V-3,Null,Null,Null,Null,Null,Creep,Null,Creep
V-4,Null,Null,Null,Null,Null,Player 8,Null,Player 6
V-5,Null,Null,Null,Null,Null,Player 8,Null,Player 6
