,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8
I-1,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
I-2,Player 8,Player 5,Player 4,Player 3,Player 2,Player 7,Player 6,Player 1
I-3,Player 4,Player 6,Player 8,Player 1,Player 7,Player 2,Player 5,Player 3
I-4,Player 2,Player 1,Player 7,Player 5,Player 4,Player 8,Player 3,Player 6
II-1,Player 6,Player 7,Player 5,Player 8,Player 3,Player 1,Player 2,Player 4
II-2,Player 7,Player 3,Player 2,Player 6,Player 8,Player 4,Player 1,Player 5
II-3,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
II-4,Player 5,Player 4,Player 6,Player 2,Player 1,Player 3,Player 8,Player 7
II-5,Player 3,Player 8,Player 1,Player 7,Player 6,Player 5,Player 4,Player 2
II-6,Player 8,Player 5,Player 4,Player 3,Player 2,Player 7,Player 6,Player 1
III-1,Player 4,Player 6,Player 8,Player 1,Player 7,Player 2,Player 5,Player 3
III-2,Player 2,Player 1,Player 7,Player 5,Player 4,Player 8,Player 3,Player 6
III-3,Creep,Creep,Creep,Creep,Creep,Creep,Creep,Creep
III-4,Player 6,Player 7,Player 5,Player 8,Player 3,Player 1,Player 2,Player 4
III-5,Player 7,Player 3,Player 2,Player 6,Player 8,Player 4,Player 1,Player 5
III-6,Player 5,Player 4,Player 6,Player 2,Player 1,Player 3,Player 8,Player 7
IV-1,Player 3,Player 8,Player 1,Player 7,Player 6,Player 5,Player 4,Player 2
IV-2,Null,Player 6,Player 7,M.Player 5,Player 2,Null,Player 3,Null
IV-3,Null,Creep,Creep,Creep,Creep,Null,Creep,Null
IV-4,Null,Player 7,Player 4,Player 3,M.Player 4,Null,Player 2,Null
IV-5,Null,Player 4,M.Player 2,Player 2,Player 7,Null,Player 5,Null
IV-6,Null,Null,Player 5,Player 7,Player 3,Null,Player 4,Null
V-1,Null,Null,Player 7,Player 5,Player 4,Null,Player 3,Null
V-2,Null,Null,Player 4,Player 3,Null,Null,Null,Null
